═══ GHEG (KOSOVO-ALBANISCH) LERNSÄTZE ═══
  1012 Sätze in 9 Schwierigkeitsstufen
  Format: L# | ### | Gheg (Kosovo) | Deutsch
L8 | 037 | Besa asht më e fortë se çdo kontratë e shkrueme. | Das Ehrenwort ist stärker als jeder schriftliche Vertrag.
L8 | 038 | Megjithatë, ai nuk u deklarua fajtor n'gjyq. | Trotzdem hat er sich vor Gericht nicht schuldig bekannt.
L8 | 039 | Kjo çështje duhet me u zgjidhë n'gjykatën e lartë. | Diese Angelegenheit muss vor dem Obersten Gericht gelöst werden.
L8 | 040 | Pasha nonën, unë këtë s'e kam ba! | Ich schwöre bei meiner Mutter, das habe ich nicht getan!
L8 | 041 | Prandaj, tatimi për këtë muaj duhet me u paguë deri më 15. | Deshalb muss die Steuer für diesen Monat bis zum 15. bezahlt werden.
L8 | 042 | Ndërkohë, djali ynë ka krye universitetin dhe kërkon punë. | Inzwischen hat unser Sohn die Universität abgeschlossen und sucht Arbeit.
L8 | 043 | Me ba nji kafe bashkë — a po vjen ore? | Einen Kaffee zusammen trinken — kommst du, Alter?
L8 | 044 | Ligjërisht, kjo marrëveshje asht e vlefshme. | Rechtlich gesehen ist diese Vereinbarung gültig.
L8 | 045 | Megjithatë, dëshmitari nuk dëshmoi të vërtetën n'gjyq. | Trotzdem hat der Zeuge vor Gericht nicht die Wahrheit ausgesagt.
L8 | 046 | Amanet, këtë fëmi mos e lsho pa përcjellë! | Pass auf, lass dieses Kind nicht ohne Begleitung!
L8 | 047 | Pasuria e tij u konfiskue nga shteti për shkak të korrupsionit. | Sein Vermögen wurde vom Staat wegen Korruption beschlagnahmt.
L8 | 048 | Prandaj, kush e prish besën, prish nderin e vet. | Deshalb, wer das Ehrenwort bricht, zerstört seine eigene Ehre.
L8 | 049 | Ndërkohë, stina e verës ka sjellë shumë turistë në Kosovë. | Inzwischen hat die Sommersaison viele Touristen in den Kosovo gebracht.
L8 | 050 | Pasha Zotin, këtë punë e kam krye me nder! | Ich schwöre bei Gott, diese Arbeit habe ich mit Ehre erledigt!
L8 | 051 | Me lanë n'baltë shokun kur asht n'nevojë — s'bon ashtu! | Den Freund im Stich zu lassen, wenn er in Not ist — das tut man nicht!
L8 | 052 | Megjithatë, gjoba u paguë brenda afatit të caktuar. | Trotzdem wurde die Geldstrafe innerhalb der festgesetzten Frist bezahlt.
L8 | 053 | Kjo kërkesë për leje qëndrimi është refuzue. | Dieser Antrag auf Aufenthaltsgenehmigung wurde abgelehnt.
L8 | 054 | Prandaj, rri n'besë e mos u lsho! | Deshalb, bleib treu und lass nicht locker!
L8 | 055 | Ndërkohë, tradita e mikpritjes vazhdon në çdo shtëpi kosovare. | Inzwischen lebt die Tradition der Gastfreundschaft in jedem kosovarischen Haus weiter.
L8 | 056 | Besën e dhânë s'mun me e prishë, se asht çnonim! | Ein gegebenes Ehrenwort kann man nicht brechen, das wäre entehrend!
L8 | 057 | Ankesa u paraqit n'gjykatë brenda afatit ligjor. | Die Beschwerde wurde fristgerecht beim Gericht eingereicht.
L8 | 058 | Megjithatë, ai mbeti n'burg deri në përfundim të hetimeve. | Trotzdem blieb er bis zum Abschluss der Ermittlungen im Gefängnis.
L8 | 059 | Me ra zêmra m'ka marrë kur pashë atë aksident! | Mir ist das Herz gefallen, als ich diesen Unfall sah!
L8 | 060 | Prandaj, firmosi këtu ku t'kam thânë! | Deshalb unterschreib hier, wo ich dir gesagt habe!
L8 | 061 | Ndërkohë, çmimi i naftës ka shku deri në qiell. | Inzwischen ist der Benzinpreis in die Höhe geschossen.
L8 | 062 | Kuvendi i Kosovës miratoi buxhetin për vitin e ardhshëm. | Die Kosovo-Versammlung hat den Haushalt für das kommende Jahr verabschiedet.
L8 | 063 | Me i marrë mendtë po më bon kjo situatë! | Diese Situation macht mich verrückt!
L8 | 064 | Pasha Zotin, unë për këtë s'dija gja! | Ich schwöre bei Gott, ich wusste nichts davon!
L8 | 065 | Megjithatë, dokumenti u firmos nga të dy palët. | Trotzdem wurde das Dokument von beiden Parteien unterschrieben.
L8 | 066 | Prandaj, nëse don me pasë miq të vërtetë, jep besën e mbaje. | Deshalb, wenn du wahre Freunde haben willst, gib dein Ehrenwort und halte es.
L8 | 067 | Ndërkohë, policia ka arrestue tre persona të dyshuar. | Inzwischen hat die Polizei drei verdächtige Personen festgenommen.
L8 | 068 | Me pi gjak e me marrë gjak — këto janë koncepte të Kanunit. | Blut trinken und Blut nehmen — das sind Konzepte des Kanun.
L8 | 069 | Besa asht nji koncept që s'kuptohet jashtë traditës sonë. | Besa ist ein Konzept, das außerhalb unserer Tradition nicht verstanden wird.
L8 | 070 | Megjithatë, gjykata e hodhi poshtë akuzën për mungesë provash. | Trotzdem wies das Gericht die Anklage mangels Beweisen ab.
L8 | 071 | Kjo leje ndërtimi është lëshue nga komuna. | Diese Baugenehmigung wurde von der Gemeinde ausgestellt.
L8 | 072 | Prandaj, mos u tut ore se s'ka gja! | Deshalb, hab keine Angst, Alter, es ist nichts!
L8 | 073 | Ndërkohë, djali i tyre shërben n'ushtrinë e Kosovës. | Inzwischen dient ihr Sohn in der Kosovo-Armee.
L8 | 074 | Me i dhânë besën dikujt asht nji nder i madh. | Jemandem sein Ehrenwort zu geben, ist eine große Ehre.
L8 | 075 | Pasha Zotin, në këtë shtëpi gjithmonë ke mirëseardhje! | Ich schwöre bei Gott, in diesem Haus bist du immer willkommen!
L8 | 076 | Megjithatë, procedura gjyqësore zgjati më shumë se një vit. | Trotzdem dauerte das Gerichtsverfahren länger als ein Jahr.
L8 | 077 | Pasaporta juaj duhet me u rinue përpara udhëtimit. | Ihr Reisepass muss vor der Reise erneuert werden.
L8 | 078 | Prandaj, më mirë vonë se kurrë për me kërkue falje. | Deshalb, besser spät als nie, um Vergebung zu bitten.
L8 | 079 | Ndërkohë, brezi i ri po mëson gjuhën shqipe me shumë dashuni. | Inzwischen lernt die junge Generation die albanische Sprache mit viel Liebe.
L8 | 080 | Kanuni i Lekë Dukagjinit asht baza e traditës sonë. | Der Kanun von Lekë Dukagjini ist die Basis unserer Tradition.
L8 | 081 | Kjo çështje u zgjidh n'mënyrë paqësore ndërmjet familjeve. | Diese Angelegenheit wurde friedlich zwischen den Familien gelöst.
L8 | 082 | Megjithatë, unë ende kam shpresë për nji t'ardhën më të mirë. | Trotzdem habe ich noch Hoffnung auf eine bessere Zukunft.
L8 | 083 | Pasha Zotin, për nder të familjes sonë! Kështu asht! | Ich schwöre bei Gott, bei der Ehre unserer Familie! So ist es!
L8 | 084 | Prandaj, mos i lsho fjalët n'erë se kanë peshë. | Deshalb, lass die Worte nicht im Wind verwehen, denn sie haben Gewicht.
L8 | 085 | Ndërkohë, tregu i Kosovës po zhvillohet dita-ditës. | Inzwischen entwickelt sich der Kosovo-Markt Tag für Tag.
L8 | 086 | Amanet, bre, këtë send s'mun me e lanë askund! | Pass auf, Mann, diesen Gegenstand darfst du nirgends liegen lassen!
L8 | 087 | Me mbajtë besën deri n'fund asht nji virtyt i madh. | Das Ehrenwort bis zum Ende zu halten, ist eine große Tugend.
L8 | 088 | Megjithatë, ai vazhdoi me mohue çdo përgjegjësi. | Trotzdem fuhr er fort, jede Verantwortung zu leugnen.
L8 | 089 | Dëshmia e tij nuk u pranue nga gjykata. | Seine Aussage wurde vom Gericht nicht angenommen.
L8 | 090 | Prandaj, rri n'besë me ata që t'duan. | Deshalb, bleib treu zu denen, die dich lieben.
L8 | 091 | Ndërkohë, shiu po bjen dhe unë s'kam çadër. | Inzwischen regnet es und ich habe keinen Schirm.
L8 | 092 | Me prishë besën asht mëkati më i madh n'kulturën tonë. | Das Ehrenwort zu brechen, ist die größte Sünde in unserer Kultur.
L8 | 093 | Pasha Zotin, kam me t'pritë n'shtëpinë time si mik! | Ich schwöre bei Gott, ich werde dich in meinem Haus als Gast empfangen!
L8 | 094 | Kjo marrëveshje duhet me u nënshkrue para noterit. | Diese Vereinbarung muss vor dem Notar unterschrieben werden.
L8 | 095 | Megjithatë, shumë qytetarë nuk janë të kënaqun me qeverinë. | Trotzdem sind viele Bürger nicht zufrieden mit der Regierung.
L8 | 096 | Prandaj, gjithmonë ki nji besë për nji mik. | Deshalb, hab immer ein Ehrenwort für einen Freund bereit.
L8 | 097 | Ndërkohë, industria e teknologjisë po rritet në Kosovë. | Inzwischen wächst die Technologieindustrie im Kosovo.
L8 | 098 | N'besë të Zotit, kjo asht e vërteta! | Bei Gottes Treue, das ist die Wahrheit!
L8 | 099 | Me dalë n'skenë më në fund rezultati i punës s'me! | Endlich ist das Ergebnis meiner Arbeit zum Vorschein gekommen!
L8 | 100 | Megjithatë, gjoba u zvogëlue për shkak të rrethanave lehtësuese. | Trotzdem wurde die Geldstrafe wegen mildernder Umstände reduziert.
L8 | 101 | Kjo ish pronë shtetërore, por tash asht privatizue. | Dies war Staatseigentum, aber jetzt ist es privatisiert worden.
L8 | 102 | Prandaj, respekto besën se ajo asht pasuria jote më e madhe. | Deshalb, respektiere das Ehrenwort, denn es ist dein größter Reichtum.
L8 | 103 | Ndërkohë, dëndërit po përgatiten për dasmën e madhe. | Inzwischen bereiten sich die Hochzeitsgäste auf die große Hochzeit vor.
L8 | 104 | Pasha Zotin, këtë sekret e marr me vete n'varr! | Ich schwöre bei Gott, dieses Geheimnis nehme ich mit ins Grab!
L8 | 105 | Çdo kontratë pune duhet me u regjistrue n'zyrën përkatëse. | Jeder Arbeitsvertrag muss beim entsprechenden Amt registriert werden.
L8 | 106 | Megjithatë, ai s'pranoi me paguë gjobën e caktueme. | Trotzdem weigerte er sich, die festgesetzte Geldstrafe zu bezahlen.
L8 | 107 | Amanet, mori, qysh po rritet kjo çikë! | Pass auf, Mädchen, wie dieses Mädchen heranwächst!
L8 | 108 | Me i marrë mendtë po më bon kjo punë pa fund! | Diese endlose Arbeit macht mich verrückt!
L8 | 109 | Prandaj, ruaje nderin tënd si sytë e ballit! | Deshalb, bewahre deine Ehre wie deine Augäpfel!
L8 | 110 | Ndërkohë, gjenerata e re po tregon interes për Kanunin e vjetër. | Inzwischen zeigt die junge Generation Interesse am alten Kanun.
L8 | 111 | Besa e dhânë e ka peshën më të madhe se çdo ligj njerëzor. | Ein gegebenes Ehrenwort hat mehr Gewicht als jedes menschliche Gesetz.
L8 | 112 | Megjithatë, mos e harro kurrë prej kah vjen fisit tënd. | Trotzdem, vergiss niemals, woher dein Clan kommt.
L8 | 113 | Kjo pronë u trashëgue brez pas brezi për më shumë se 200 vjet. | Dieses Eigentum wurde Generation für Generation über mehr als 200 Jahre vererbt.
L8 | 114 | Pasha Zotin, unë kam me dalë n'sipërfaqe të vërtetën! | Ich schwöre bei Gott, ich werde die Wahrheit ans Licht bringen!
══════════════════════════════════════════════════
LEVEL 9 — EXPERTE — Komplexe Satzgefüge, Politik, Wissenschaft, formelle Sprache
114 Sätze
══════════════════════════════════════════════════

L9 | 001 | Qeveria që ka premtu përparim, duhet me tregu rezultate konkrete nëse do me fitu besimin e popullit. | Die Regierung, die Fortschritt versprochen hat, muss konkrete Ergebnisse zeigen, wenn sie das Vertrauen des Volkes gewinnen will.
L9 | 002 | Edhe pse kemi pasur vështirësi të shumta, na kurrë s'kemi humb shpresën për nji t'ardhën më të mirë. | Obwohl wir viele Schwierigkeiten hatten, haben wir nie die Hoffnung auf eine bessere Zukunft verloren.
L9 | 003 | Shkencëtarët që studiojnë ndryshimin klimatik, kanë ardhë në përfundim se duhet me veprue menjëherë para se të jetë vonë. | Die Wissenschaftler, die den Klimawandel erforschen, sind zu dem Schluss gekommen, dass sofort gehandelt werden muss, bevor es zu spät ist.
L9 | 004 | Përderisa demokracia kërkon pjesëmarrjen e të gjithëve, ne duhet me dalë me votue në çdo zgjedhje, sepse çdo zë ka rëndësi. | Solange die Demokratie die Teilnahme aller erfordert, müssen wir bei jeder Wahl wählen gehen, denn jede Stimme zählt.
L9 | 005 | Nëse don të kuptosh realitetin kompleks të Kosovës, duhet me studjue historinë e saj që nga kohët e lashta deri në ditët e sotme. | Wenn du die komplexe Realität des Kosovo verstehen willst, musst du seine Geschichte von der Antike bis heute studieren.
L9 | 006 | Artikulli që botoi ajo gazetare e njohun, analizon ndikimin e politikës ndërkombëtare në zhvillimin ekonomik të rajonit tonë. | Der Artikel, den diese bekannte Journalistin veröffentlichte, analysiert den Einfluss der internationalen Politik auf die wirtschaftliche Entwicklung unserer Region.
L9 | 007 | Në universitetin e Prishtinës, studentët që studiojnë drejtësinë, mësojnë jo vetëm ligjet moderne, por edhe Kanunin tradicional shqiptar. | An der Universität Prishtina lernen die Studenten, die Jura studieren, nicht nur die modernen Gesetze, sondern auch den traditionellen albanischen Kanun.
L9 | 008 | Edhe pse kushtet ekonomike janë të vështira, ai ka vendosë me investue në arsim, sepse e di që dituria asht e vetmja rrugë për sukses. Obwohl die wirtschaftlichen Bedingungen schwierig sind, hat er beschlossen, | in Bildung zu investieren, weil er weiß, dass Wissen der einzige Weg zum Erfolg ist. Sipas raportit të fundit të Kombeve të Bashkueme, niveli i ndotjes së ajrit
L9 | 009 | në qytetet kryesore të rajonit ka tejkalu çdo standard ndërkombëtar. | Laut dem letzten Bericht der Vereinten Nationen hat die Luftverschmutzung in den Hauptstädten der Region jeden internationalen Standard überschritten.
L9 | 010 | Nëse analizojmë statistikat e fundit për papunësi, vërejmë se situata asht përmirësue, por ende s'asht ajo që dëshirojmë. | Wenn wir die letzten Arbeitslosenstatistiken analysieren, stellen wir fest, dass sich die Situation verbessert hat, aber noch nicht das ist, was wir wünschen.
L9 | 011 | Gjyqtari, pasi i dëgjoi të gjitha palët me vëmendje, mori nji vendim që bazonte në ligj dhe në drejtësi, edhe pse nuk ishte popullor. | Der Richter, nachdem er alle Parteien aufmerksam angehört hatte, traf eine Entscheidung, die auf Gesetz und Gerechtigkeit basierte, obwohl sie nicht populär war.
L9 | 012 | Shpresojmë se marrëveshja e paqes që u nënshkrua në Bruksel, ka me sjellë stabilitet të qëndrueshëm për tërë Ballkanin Perëndimor. | Wir hoffen, dass das Friedensabkommen, das in Brüssel unterzeichnet wurde, dauerhafte Stabilität für den gesamten Westbalkan bringen wird.
L9 | 013 | Një shoqëri që nuk investon në arsim dhe në shkencë, asht e dënueme me mbetje prapa në zhvillimin global të botës moderne. | Eine Gesellschaft, die nicht in Bildung und Wissenschaft investiert, ist dazu verurteilt, in der globalen Entwicklung der modernen Welt zurückzubleiben.
L9 | 014 | Edhe pse shumë ekspertë kanë paralajmërue për pasojat e ndryshimit klimatik, akoma ka nga ata që nuk i marrin seriozisht këto paralajmërime. | Obwohl viele Experten vor den Folgen des Klimawandels gewarnt haben, gibt es immer noch diejenigen, die diese Warnungen nicht ernst nehmen.
L9 | 015 | Profesori ynë i historisë, i cili ka shkrue disa libra për identitetin kombëtar, na shpjegoi se si tradita dhe moderniteti mund të bashkëjetojnë. | Unser Geschichtsprofessor, der mehrere Bücher über die nationale Identität geschrieben hat, erklärte uns, wie Tradition und Moderne koexistieren können.
L9 | 016 | Nëse don me kuptue letërsinë e Ismail Kadaresë, duhet me njohë thellë historinë dhe mitologjinë shqiptare që ndërthuren në veprat e tij. | Wenn du die Literatur von Ismail Kadare verstehen willst, musst du die albanische Geschichte und Mythologie kennen, die sich in seinen Werken verflechten.
L9 | 017 | Pasi të keni plotësue formularin e aplikacionit, ju lutem dorëzojeni në zyrën e regjistrimit bashkë me dokumentat e nevojshme. | Nachdem Sie das Antragsformular ausgefüllt haben, reichen Sie es bitte im Registrierungsbüro zusammen mit den erforderlichen Dokumenten ein.
L9 | 018 | Reforma në sistemin gjyqësor, të cilën e ka premtue qeveria e re, asht e domosdoshme për me rritë besimin e qytetarëve n' institucione. | Die Reform des Justizsystems, die die neue Regierung versprochen hat, ist notwendig, um das Vertrauen der Bürger in die Institutionen zu stärken.
L9 | 019 | Sa më shumë që thellohemi në studimin e gjuhës shqipe, aq më shumë na habit pasuria e saj leksikore dhe struktura gramatikore. | Je tiefer wir uns in das Studium der albanischen Sprache vertiefen, desto mehr erstaunt uns ihr lexikalischer Reichtum und ihre grammatikalische Struktur.
L9 | 020 | Nëse qeveria nuk ndërmerr masa konkrete për me luftu korrupsionin, investitorët e huaj s'do të kenë besim për me investue në vend. | Wenn die Regierung keine konkreten Maßnahmen zur Korruptionsbekämpfung ergreift, werden ausländische Investoren kein Vertrauen haben, um im Land zu investieren.
L9 | 021 | Ai studim shkencor, i cili u publikua në nji revistë ndërkombëtare, tregon se ndryshimet klimatike po ndikojnë direkt në bujqësinë e rajonit. | Jene wissenschaftliche Studie, die in einer internationalen Zeitschrift veröffentlicht wurde, zeigt, dass der Klimawandel die Landwirtschaft der Region direkt beeinflusst.
L9 | 022 | Edhe pse shqipja asht nji gjuhë e lashtë, ajo vazhdon me u zhvillue dhe me iu përshtatë nevojave të botës moderne teknologiike. | Obwohl Albanisch eine alte Sprache ist, entwickelt sie sich weiter und passt sich den Bedürfnissen der modernen technologischen Welt an.
L9 | 023 | Integrimi i Kosovës në Bashkimin Evropian, për të cilin shumë breza kanë ëndërrue, kërkon reforma të thella në të gjitha sektorët. | Die Integration des Kosovo in die Europäische Union, von der viele Generationen geträumt haben, erfordert tiefgreifende Reformen in allen Sektoren.
L9 | 024 | Nëse don me pasë sukses në biznesin tënd, nuk mjafton veç me puntë fort — duhet me pasë edhe nji strategji të qartë dhe me marrë vendime të guximshme. | Wenn du in deinem Geschäft erfolgreich sein willst, reicht es nicht, nur hart zu arbeiten — du brauchst auch eine klare Strategie und musst mutige Entscheidungen treffen.
L9 | 025 | Politika e jashtme e shtetit tonë, e cila bazohet në bashkëpunim rajonal, ka për qëllim me forcue marrëdhëniet me fqinjët dhe me garantue paqen. | Die Außenpolitik unseres Staates, die auf regionaler Zusammenarbeit basiert, hat das Ziel, die Beziehungen zu den Nachbarn zu stärken und den Frieden zu garantieren.
L9 | 026 | Pasi mbarova studimet master në Gjermani, u ktheva në Kosovë me nji vizion të ri për me kontribuue në zhvillimin e vendit tim. | Nachdem ich mein Masterstudium in Deutschland abgeschlossen hatte, kehrte ich mit einer neuen Vision in den Kosovo zurück, um zur Entwicklung meines Landes beizutragen.
L9 | 027 | Shumë të rinj që studiojnë jashtë vendit, përballen me sfidën e ruajtjes së identitetit të tyre kulturor, ndërkohë që përshtaten me një kulturë të re. | Viele junge Leute, die im Ausland studieren, stehen vor der Herausforderung, ihre kulturelle Identität zu bewahren, während sie sich an eine neue Kultur anpassen.
L9 | 028 | Nëse nuk ndërmarrim masa urgjente për me mbrojtë mjedisin, gjeneratat e ardhshme do të trashëgojnë nji planet të dëmtue në mënyrë të pariparueshme. | Wenn wir keine dringenden Maßnahmen zum Umweltschutz ergreifen, werden die kommenden Generationen einen irreparabel geschädigten Planeten erben.
L9 | 029 | Deklarata e presidentit, të cilën e ndoqën miliona njerëz në televizion, theksoi rëndësinë e bashkimit kombëtar në momente të vështira. | Die Erklärung des Präsidenten, die Millionen Menschen im Fernsehen verfolgten, betonte die Bedeutung der nationalen Einheit in schwierigen Momenten.
L9 | 030 | Kjo tezë doktorate, e cila trajton çështjen e identitetit në letërsinë bashkëkohore shqiptare, ka marrë vlerësime pozitive nga profesorët. | Diese Doktorarbeit, die die Frage der Identität in der zeitgenössischen albanischen Literatur behandelt, hat positive Bewertungen von den Professoren erhalten.
L9 | 031 | Sipas ekspertëve të ekonomisë, zhvillimi i sektorit privat asht çelësi për me zvogëlue papunësinë dhe me përmirësue standardin e jetesës. | Laut Wirtschaftsexperten ist die Entwicklung des Privatsektors der Schlüssel zur Verringerung der Arbeitslosigkeit und zur Verbesserung des Lebensstandards.
L9 | 032 | Edhe pse teknologjia moderne na ka lehtësue shumë aspekte të jetës, ajo gjithashtu ka sjellë sfida të reja që kërkojnë zgjidhje kreative. | Obwohl die moderne Technologie uns viele Aspekte des Lebens erleichtert hat, hat sie auch neue Herausforderungen gebracht, die kreative Lösungen erfordern.
L9 | 033 | Nëse do me apliku për këtë bursë, duhet me dorëzue nji ese të shkrueme në gjuhën angleze dhe dy letra rekomandimi nga profesorët. | Wenn du dich für dieses Stipendium bewerben willst, musst du einen auf Englisch verfassten Aufsatz und zwei Empfehlungsschreiben von Professoren einreichen.
L9 | 034 | Ai film dokumentar, që trajtonte historinë e Kosovës gjatë luftës së fundit, u shfaq në shumë festivale ndërkombëtare dhe fitoi çmime të rëndësishme. | Jener Dokumentarfilm, der die Geschichte des Kosovo während des letzten Krieges behandelte, wurde auf vielen internationalen Festivals gezeigt und gewann wichtige Preise.
L9 | 035 | Pasi të keni lexue me kujdes kontratën, ju lutem firmoseni në faqen e fundit dhe ktheni nji kopje në zyrën tonë brenda pesë ditëve. | Nachdem Sie den Vertrag sorgfältig gelesen haben, unterschreiben Sie bitte auf der letzten Seite und geben Sie eine Kopie innerhalb von fünf Tagen in unserem Büro ab.
L9 | 036 | Shkolla jonë, e cila ka nji traditë të gjatë në edukimin e brezave, ka nisë nji program të ri për talente të reja në fushën e teknologjisë. | Unsere Schule, die eine lange Tradition in der Bildung von Generationen hat, hat ein neues Programm für junge Talente im Bereich Technologie gestartet.
L9 | 037 | Diplomatët kosovarë që punojnë në misione të ndryshme nëpër botë, kanë nji përgjegjësi të madhe për me përfaqësue vendin tonë me dinjitet. | Die kosovarischen Diplomaten, die in verschiedenen Missionen auf der ganzen Welt arbeiten, haben eine große Verantwortung, unser Land mit Würde zu vertreten.
L9 | 038 | Nëse shqyrtojmë me kujdes statistikat e fundit, vërejmë se emigracioni i të rinjve ka rënë në krahasim me vitet e kaluara. | Wenn wir die letzten Statistiken sorgfältig prüfen, stellen wir fest, dass die Auswanderung der Jugend im Vergleich zu den Vorjahren zurückgegangen ist.
L9 | 039 | Edhe pse Kosova asht nji vend i ri në hartën politike të botës, ajo ka nji histori të pasur që shtrihet mijëra vjet prapa në kohë. | Obwohl der Kosovo ein junges Land auf der politischen Landkarte der Welt ist, hat er eine reiche Geschichte, die Jahrtausende zurückreicht.
L9 | 040 | Artikulli kushtetues që garanton lirinë e medias, duhet me u mbrojtë me çdo kusht, sepse përbën bazën e nji shoqërie demokratike. | Der Verfassungsartikel, der die Pressefreiheit garantiert, muss um jeden Preis geschützt werden, denn er bildet die Grundlage einer demokratischen Gesellschaft.
L9 | 041 | Politikanët që premtojnë ndryshime pa pasur nji plan konkret, zakonisht nuk arrijnë me realizue asgjë, sepse u mungon vizioni dhe vullneti. | Politiker, die Veränderungen versprechen, ohne einen konkreten Plan zu haben, erreichen gewöhnlich nichts, weil ihnen die Vision und der Wille fehlen.
L9 | 042 | Globalizimi, për të cilin flitet kaq shumë kohët e fundit, ka sjellë mundësi të reja, por edhe rreziqe për kulturat tradicionale. | Die Globalisierung, von der in letzter Zeit so viel gesprochen wird, hat neue Chancen, aber auch Risiken für traditionelle Kulturen gebracht.
L9 | 043 | Nëse don me shkëlqye në fushën e programimit, duhet me mësue vazhdimisht dhe me ndjekë zhvillimet më të reja të teknologjisë. | Wenn du im Bereich Programmierung glänzen willst, musst du ständig lernen und die neuesten technologischen Entwicklungen verfolgen.
L9 | 044 | Sipas mendimit tim, zgjidhja më e mirë për këtë problem asht dialoga konstruktiv ndërmjet palëve, në vend të konfrontimit dhe akuzave. | Meiner Meinung nach ist die beste Lösung für dieses Problem ein konstruktiver Dialog zwischen den Parteien, anstatt Konfrontation und Beschuldigungen.
L9 | 045 | Pasi përfundoi lufta, populli i Kosovës u përball me sfidën e rindërtimit të vendit dhe të krijimit të institucioneve të reja shtetërore. | Nachdem der Krieg vorbei war, stand das Volk des Kosovo vor der Herausforderung, das Land wieder aufzubauen und neue staatliche Institutionen zu schaffen.
L9 | 046 | Studentët që marrin pjesë në këtë seminar ndërkombëtar, kanë mundësinë me shkëmbye përvoja me kolegë nga vende të ndryshme të botës. | Die Studenten, die an diesem internationalen Seminar teilnehmen, haben die Möglichkeit, Erfahrungen mit Kollegen aus verschiedenen Ländern der Welt auszutauschen.
L9 | 047 | Nëse don të kuptosh thelbin e filozofisë shqiptare, duhet me studjue veprat e Shën Gjergj Fishtës dhe të Pashko Vasës. | Wenn du das Wesen der albanischen Philosophie verstehen willst, musst du die Werke von Gjergj Fishta und Pashko Vasa studieren.
L9 | 048 | Qeveria ka ndërmarrë masa të rëndësishme për me përmirësue klimën e biznesit, gjë që ka sjellë rritje të investimeve të huaja direkte. | Die Regierung hat wichtige Maßnahmen zur Verbesserung des Geschäftsklimas ergriffen, was zu einem Anstieg der ausländischen Direktinvestitionen geführt hat.
L9 | 049 | Edhe pse jam rritë në Gjermani, unë kurrë s'e kam harru gjuhën time amtare, sepse prindit e mi kanë folë gjithmonë shqip në shtëpi. | Obwohl ich in Deutschland aufgewachsen bin, habe ich nie meine Muttersprache vergessen, weil meine Eltern zu Hause immer Albanisch gesprochen haben.
L9 | 050 | Koncepti i Besës, i cili asht aq i rëndësishëm në kulturën shqiptare, nënkupton nji angazhim moral që s'mun të thyhet për asnjë çmim. | Das Konzept der Besa, das in der albanischen Kultur so wichtig ist, bedeutet eine moralische Verpflichtung, die um keinen Preis gebrochen werden kann.
L9 | 051 | Reforma në arsim, për të cilën debatohet prej vitesh, kërkon nji qasje gjithëpërfshirëse që përfshin kurrikulën, infrastrukturën dhe trajnimin e mësimdhënësve. | Die Bildungsreform, über die seit Jahren debattiert wird, erfordert einen umfassenden Ansatz, der das Curriculum, die Infrastruktur und die Lehrerausbildung umfasst.
L9 | 052 | Nëse nuk investojmë në energjinë e ripërtëritshme, do të përballemi me nji krizë energjetike që do të ndikojë në të gjithë ekonominë. | Wenn wir nicht in erneuerbare Energien investieren, werden wir mit einer Energiekrise konfrontiert sein, die die gesamte Wirtschaft beeinträchtigen wird.
L9 | 053 | Ai shkrimtar i madh, veprat e të cilit janë përkthye në shumë gjuhë të botës, e ka përshkrue me mjeshtëri tragjedinë dhe shpresën e popullit shqiptar. | Jener große Schriftsteller, dessen Werke in viele Sprachen der Welt übersetzt wurden, hat die Tragödie und die Hoffnung des albanischen Volkes meisterhaft beschrieben.
L9 | 054 | Pasi mbarova takimin me përfaqësuesit e Bankës Botërore, kuptova se zhvillimi i qëndrueshëm kërkon bashkëpunimin e të gjithë sektorëve. | Nachdem ich das Treffen mit den Vertretern der Weltbank beendet hatte, verstand ich, dass nachhaltige Entwicklung die Zusammenarbeit aller Sektoren erfordert.
L9 | 055 | Edhe pse shumë njerëz mendojnë se diaspora nuk luan rol të rëndësishëm, statistikat tregojnë se remitencat e saj kanë nji ndikim të madh në ekonominë kosovare. | Obwohl viele Menschen denken, dass die Diaspora keine wichtige Rolle spielt, zeigen Statistiken, dass ihre Überweisungen einen großen Einfluss auf die kosovarische Wirtschaft haben.
L9 | 056 | Në Analet e Historisë Shqiptare shkruhet se gjuhë shqipe asht aq e lashtë sa vetë ilirët, paraardhësit tanë të drejtpërdrejtë. | In den Annalen der albanischen Geschichte steht geschrieben, dass die albanische Sprache so alt ist wie die Illyrer selbst, unsere direkten Vorfahren.
L9 | 057 | Organizatat joqeveritare që merren me mbrojtjen e të drejtave të njeriut, kanë raportue për përmirësime të dukshme në këtë fushë gjatë vitit të fundit. | Die Nichtregierungsorganisationen, die sich mit dem Schutz der Menschenrechte befassen, haben im letzten Jahr deutliche Verbesserungen in diesem Bereich gemeldet.
L9 | 058 | Nëse don me shkue në Gjermani për me studjue, duhet me mësue gjermanishten në nivelin B2 dhe me sigurue nji vend në universitet. | Wenn du nach Deutschland gehen willst, um zu studieren, musst du Deutsch auf B2-Niveau lernen und dir einen Platz an der Universität sichern.
